replicate,seed,ll_reduced,ll_full,dofv,converged_reduced,converged_full,n_steps_reduced,n_steps_full,secs,CL_reduced,V_reduced,ka_reduced,om_CL_reduced,om_V_reduced,sigma_reduced,CL_full,V_full,ka_full,om_CL_full,om_V_full,om_ka_full,sigma_full,sigma_diff
46,5046,-140.2496502371548,-138.96212160718812,2.5750572599333736,True,True,2250,10000,45.925899028778076,2.9550366584047563,30.13414638387839,1.1935876538603216,0.32012954459165327,0.1828717848360493,0.21115530608513858,2.7906587950038775,30.602447115350856,1.2063827351691825,0.3231816189898154,0.17874259524148597,0.1571110595388523,0.20454224937098112,-0.0066130567141574614
47,5047,-103.99667413526893,-102.91704318434489,2.159261901848083,True,True,5500,7500,47.014657974243164,3.0589912271713535,30.17477115826334,1.1470523043167138,0.3035729850664312,0.1947844007307197,0.19560995267411344,2.916945337304299,30.33041892835584,1.1519008954708483,0.30450318813470545,0.1908171831216062,0.11643895243583202,0.1921320643772473,-0.0034778882968661273
48,5048,-149.3337575109112,-145.16112473667306,8.345265548476277,True,True,2000,10250,46.7927610874176,3.0924121006455914,29.375972740385905,1.2157898686306792,0.34034728843555356,0.2053217253588958,0.2009312002693271,3.0800785163814393,29.341746060985805,1.1942737226860987,0.34143287272906087,0.19715029884406232,0.18012190455742674,0.1943846595960646,-0.006546540673262491
49,5049,-131.78721831415143,-132.4994722067539,-1.4245077852049235,True,True,3000,18250,76.95656180381775,3.0387317397449336,29.64913904401482,1.2183301320103759,0.28930436501981777,0.1951599066968988,0.20562558084693247,2.9861946767307614,30.037360868872895,1.2177656731017643,0.2891055319871258,0.1871045603205494,0.008318351537463065,0.2073808818009289,0.0017553009539964248
50,5050,-85.1576390705401,-84.80424823170806,0.7067816776640825,True,True,3250,16250,70.74951601028442,2.9759853120801663,29.562199092048452,1.1519223397024907,0.2738886165310753,0.19307537151635187,0.19281955256089062,2.8834659538105356,29.703897819038875,1.1709291259756893,0.2706149669466945,0.1941222293653984,0.01569814775719185,0.1910575965173897,-0.0017619560435009063
51,5051,-102.64992952185656,-102.6299487573244,0.03996152906432826,True,True,5000,14500,69.14858293533325,3.0448883420643282,30.436806018447175,1.206800586608251,0.2563147102748024,0.1889619394444118,0.19861185900303543,3.0821026353622045,29.98568659411354,1.2156296417503683,0.2534831144051675,0.19054824335139478,0.010133548659955654,0.20122092196002422,0.002609062956988789
52,5052,-129.89943893367882,-130.3520260310994,-0.9051741948411518,True,True,2500,9750,44.27666211128235,3.161881686391143,30.276123307609854,1.2030141678620203,0.2807053258350329,0.19526684056186788,0.20572378816744336,3.1294169809969414,30.226809816064048,1.1885289464258826,0.2844993274573371,0.19199226685210977,0.017345833077603068,0.2045967889458925,-0.0011269992215508506
53,5053,-121.99233127965752,-122.04894390116708,-0.11322524301911585,True,True,5500,15500,74.28794717788696,3.1542423672406485,31.504570628465117,1.2224885089605368,0.305914899464637,0.18962255999173636,0.20396067123250775,3.118467828107388,31.37853772476412,1.207676121462295,0.30106468747442827,0.19025222312116358,0.01196903682996503,0.20255109866959267,-0.0014095725629150735
54,5054,-126.65790694650323,-126.30540430914618,0.7050052747140967,True,True,2250,9500,41.99997520446777,2.967256292285638,29.605249557310252,1.2162737895841544,0.2963816997885785,0.2047169552915581,0.20241420378019773,2.963736888212753,29.863565836436432,1.2019550244242685,0.29893241516899455,0.2024998277779404,0.024218798578274917,0.20353114387822394,0.001116940098026209
55,5055,-124.23466473212177,-123.85546195078939,0.7584055626647626,True,True,3000,14250,62.49881100654602,3.0589821683229053,30.114749526965383,1.2135335182376987,0.3284616634788718,0.17606117972324958,0.20209524818761132,2.988451539024254,29.892888170250522,1.1966245710463992,0.32847065169246975,0.17275087143020335,0.010321690408361407,0.2025213909290328,0.00042614274142147024
