replicate,seed,posterior,K,param,estimate,truth,rel_bias_pct,marginal_ll,mean_ess,frac_bad,n_steps_run,converged,secs,cpu_secs
2,1002,free,1,om_V,0.02327782636743033,0.2,-88.36108681628482,-185.04760098220123,3671.9569627662618,0.0,25000,True,8.343817949295044,8.350096000000008
2,1002,free,1,om_ka,0.3829644765548422,0.4,-4.258880861289449,-185.04760098220123,3671.9569627662618,0.0,25000,True,8.343822002410889,8.350096000000008
2,1002,free,1,sigma,0.2299942916216283,0.2,14.99714581081414,-185.04760098220123,3671.9569627662618,0.0,25000,True,8.343824863433838,8.350096000000008
2,1002,free,8,CL,3.0199836459677916,3.0,0.6661215322597188,-164.87592053352023,1797.6154811091578,0.0,11000,True,5.665038108825684,6.041773000000006
2,1002,free,8,V,29.499063280925338,30.0,-1.6697890635822077,-164.87592053352023,1797.6154811091578,0.0,11000,True,5.6650450229644775,6.041773000000006
2,1002,free,8,ka,1.1938349924780176,1.2,-0.5137506268318622,-164.87592053352023,1797.6154811091578,0.0,11000,True,5.665051221847534,6.041773000000006
2,1002,free,8,om_CL,0.2860909244920369,0.3,-4.63635850265437,-164.87592053352023,1797.6154811091578,0.0,11000,True,5.6650550365448,6.041773000000006
2,1002,free,8,om_V,0.1561581668441675,0.2,-21.920916577916255,-164.87592053352023,1797.6154811091578,0.0,11000,True,5.6650590896606445,6.041773000000006
2,1002,free,8,om_ka,0.3064893158842278,0.4,-23.37767102894306,-164.87592053352023,1797.6154811091578,0.0,11000,True,5.665062189102173,6.041773000000006
2,1002,free,8,sigma,0.20566505047705458,0.2,2.8325252385272837,-164.87592053352023,1797.6154811091578,0.0,11000,True,5.6650660037994385,6.041773000000006
2,1002,free,64,CL,3.0830275679624424,3.0,2.767585598748079,-164.9256441215437,2210.580244518921,0.0,11250,True,19.593537092208862,26.515320000000003
2,1002,free,64,V,29.15243857902641,30.0,-2.825204736578636,-164.9256441215437,2210.580244518921,0.0,11250,True,19.593544244766235,26.515320000000003
2,1002,free,64,ka,1.1939023528186703,1.2,-0.5081372651108048,-164.9256441215437,2210.580244518921,0.0,11250,True,19.593549013137817,26.515320000000003
2,1002,free,64,om_CL,0.28545780277449767,0.3,-4.84739907516744,-164.9256441215437,2210.580244518921,0.0,11250,True,19.59355330467224,26.515320000000003
2,1002,free,64,om_V,0.15039408915324293,0.2,-24.80295542337854,-164.9256441215437,2210.580244518921,0.0,11250,True,19.59355640411377,26.515320000000003
2,1002,free,64,om_ka,0.33987831236140637,0.4,-15.030421909648414,-164.9256441215437,2210.580244518921,0.0,11250,True,19.593560218811035,26.515320000000003
2,1002,free,64,sigma,0.207452766898997,0.2,3.7263834494984938,-164.9256441215437,2210.580244518921,0.0,11250,True,19.593563318252563,26.515320000000003
2,1002,amortized,1,CL,3.1097650728249167,3.0,3.6588357608305553,-185.40235690689184,3677.8214586471254,0.0,18250,True,9.49915075302124,10.004049999999978
2,1002,amortized,1,V,28.994299975223242,30.0,-3.352333415922525,-185.40235690689184,3677.8214586471254,0.0,18250,True,9.499158143997192,10.004049999999978
2,1002,amortized,1,ka,1.1832989318853657,1.2,-1.3917556762195193,-185.40235690689184,3677.8214586471254,0.0,18250,True,9.499162912368774,10.004049999999978
2,1002,amortized,1,om_CL,0.2921829749010254,0.3,-2.605675032991528,-185.40235690689184,3677.8214586471254,0.0,18250,True,9.49916696548462,10.004049999999978
2,1002,amortized,1,om_V,0.020068331183899682,0.2,-89.96583440805016,-185.40235690689184,3677.8214586471254,0.0,18250,True,9.49917483329773,10.004049999999978
2,1002,amortized,1,om_ka,0.38802916361732637,0.4,-2.9927090956684137,-185.40235690689184,3677.8214586471254,0.0,18250,True,9.499177932739258,10.004049999999978
2,1002,amortized,1,sigma,0.22911364656100344,0.2,14.556823280501716,-185.40235690689184,3677.8214586471254,0.0,18250,True,9.499181747436523,10.004049999999978
2,1002,amortized,8,CL,3.0075187006016297,3.0,0.25062335338765784,-165.40676261964643,2156.5182433403975,0.0,13250,True,9.249863862991333,10.084974999999986
2,1002,amortized,8,V,29.137961680440988,30.0,-2.8734610651967074,-165.40676261964643,2156.5182433403975,0.0,13250,True,9.249885082244873,10.084974999999986
2,1002,amortized,8,ka,1.2028006637421977,1.2,0.2333886451831487,-165.40676261964643,2156.5182433403975,0.0,13250,True,9.24989104270935,10.084974999999986
2,1002,amortized,8,om_CL,0.2876138614978087,0.3,-4.12871283406376,-165.40676261964643,2156.5182433403975,0.0,13250,True,9.249897003173828,10.084974999999986
2,1002,amortized,8,om_V,0.13926376784460048,0.2,-30.36811607769976,-165.40676261964643,2156.5182433403975,0.0,13250,True,9.249901056289673,10.084974999999986
2,1002,amortized,8,om_ka,0.3194026887976337,0.4,-20.14932780059157,-165.40676261964643,2156.5182433403975,0.0,13250,True,9.249903917312622,10.084974999999986
2,1002,amortized,8,sigma,0.20724378585902414,0.2,3.621892929512066,-165.40676261964643,2156.5182433403975,0.0,13250,True,9.249907970428467,10.084974999999986
2,1002,amortized,64,CL,3.1491651592081054,3.0,4.972171973603512,-165.72104833872353,2027.0484937801286,0.0,16000,True,33.96359205245972,43.75783200000001
2,1002,amortized,64,V,28.878381170851686,30.0,-3.738729430494381,-165.72104833872353,2027.0484937801286,0.0,16000,True,33.963600873947144,43.75783200000001
2,1002,amortized,64,ka,1.1950050830140488,1.2,-0.41624308216259287,-165.72104833872353,2027.0484937801286,0.0,16000,True,33.96360683441162,43.75783200000001
2,1002,amortized,64,om_CL,0.28166598199950055,0.3,-6.111339333499814,-165.72104833872353,2027.0484937801286,0.0,16000,True,33.963610887527466,43.75783200000001
2,1002,amortized,64,om_V,0.15582640351803037,0.2,-22.08679824098482,-165.72104833872353,2027.0484937801286,0.0,16000,True,33.96361494064331,43.75783200000001
2,1002,amortized,64,om_ka,0.32896679198773376,0.4,-17.758302003066564,-165.72104833872353,2027.0484937801286,0.0,16000,True,33.963618755340576,43.75783200000001
